"var1","var2","cor","p_value","FDR"
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",0.823758519961052,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",0.807473222979552,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","ORNDEG.PWY..superpathway.of.ornithine.degradation",0.784153627311522,0,0
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis",0.945396375776123,0,0
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",0.787554217933965,0,0
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","ORNDEG.PWY..superpathway.of.ornithine.degradation",0.805604551920341,0,0
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.784038746064063,0,0
"PPGPPMET.PWY..ppGpp.metabolism","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.874357645316549,0,0
"PPGPPMET.PWY..ppGpp.metabolism","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.825726904674273,0,0
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.911530612244898,0,0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.947696514012303,0,0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.895748488214242,0,0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.878195488721805,0,0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","PPGPPMET.PWY..ppGpp.metabolism",0.804921394395079,0,0
"PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.84143135345667,0,0
"PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.768281402142162,0,0
"PWY.5005..biotin.biosynthesis.II","P42.PWY..incomplete.reductive.TCA.cycle",0.842166174475217,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.967652916073969,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.794363531205637,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",0.849466323150534,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.782428098217572,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis",0.812713602187286,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.857668647142331,0,0
"PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.848648648648649,0,0
"PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.834850640113798,0,0
"PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.","PPGPPMET.PWY..ppGpp.metabolism",0.789701280227596,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.83425320056899,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","GALACTARDEG.PWY..D.galactarate.degradation.I",0.775945573413928,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",0.775945573413928,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.813364167478091,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",0.943159688412853,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.897517039922103,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis",0.941041869522882,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.842307692307692,0,0
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.874625374625375,0,0
"PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.917448979591837,0,0
"PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.917448979591837,0,0
