2026-04-12 16:50:16.309 INFO::Writing function arguments to log file
2026-04-12 16:50:16.310197 DEBUG::Function arguments
2026-04-12 16:50:16.31068 DEBUG::Output folder: ALL_VAR_MAASLIN_CELL
2026-04-12 16:50:16.311155 DEBUG::Formula: ~ Termness + Sex + Delivery_mode + Feeding_method + Antibiotics + Probiotics + Ethnicity + Read_depth + acetate + propionate + isobutyrate + butyrate
2026-04-12 16:50:16.311602 DEBUG::Fixed effects:
2026-04-12 16:50:16.312048 DEBUG::Reference:
2026-04-12 16:50:16.312488 DEBUG::Random effects:
2026-04-12 16:50:16.312929 DEBUG::Group effects:
2026-04-12 16:50:16.313375 DEBUG::Ordered effects:
2026-04-12 16:50:16.571638 INFO::Writing model objects to file ALL_VAR_MAASLIN_CELL/fits/models_logistic.rds
2026-04-12 16:50:16.573249 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_CELL/fits/residuals_logistic.rds
2026-04-12 16:50:16.574844 INFO::Writing residuals to file ALL_VAR_MAASLIN_CELL/fits/residuals_logistic.rds
2026-04-12 16:50:16.576265 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_CELL/fits/fitted_logistic.rds
2026-04-12 16:50:16.577846 INFO::Writing fitted values to file ALL_VAR_MAASLIN_CELL/fits/fitted_logistic.rds
2026-04-12 16:50:16.57997 INFO::Writing all the results to file (ordered 
            by increasing individual q-values): ALL_VAR_MAASLIN_CELL/all_results.tsv
2026-04-12 16:50:16.583161 INFO::Writing the significant results without errors (those which have joint q-values less than or equal to the threshold of 0.100000 ) to file (ordered by increasing individual q-values): ALL_VAR_MAASLIN_CELL/significant_results.tsv
2026-04-12 16:50:16.585669 INFO::Writing summary plot of significant
                        results to file: ALL_VAR_MAASLIN_CELL/figures/summary_plot.pdf
2026-04-12 16:50:17.753578 INFO::Writing association plots (one for each significant association) to output folder: ALL_VAR_MAASLIN_CELL/figures
2026-04-12 16:50:17.755427 INFO::Plotting associations from most to least significant, grouped by metadata
2026-04-12 16:50:17.758617 INFO::Creating box plot for categorical data (linear), 
                        Delivery_mode vs PC
2026-04-12 16:50:17.800457 INFO::Creating box plot for categorical data (linear), 
                        Delivery_mode vs BC
