feature	acetate	propionate	isobutyrate	butyrate
CB53	326.710472279261	55.088295687885	1.82340862422998	2.13552361396304
CB54	1346.23115577889	32.8509212730318	0.33500837520938	1.28643216080402
CB55	236.817204301075	123.913978494624	7.55555555555555	6.86021505376344
CB56	680.154873164219	5.19626168224299	0.309746328437917	1.14819759679573
CB57	1916.94805194805	6.03896103896104	0.402597402597403	1.35930735930736
CB58	417.495135843588	9.763790015198	0.406517700072518	0.743332816751845
CB59	1745.70570570571	176.438438438438	1.50750750750751	11.1351351351351
CB60	1444.78911564626	79.2244897959184	2.2312925170068	68.7551020408163
CB61	4596.32653061224	35.4530612244898	2.7265306122449	13.5591836734694
CB63	617.17094017094	25.2393162393162	1.46153846153846	24.2735042735043
CB64	432.995260663507	26.9763033175355	1.48815165876777	5.8436018957346
CB66	4146.95384615385	164.615384615385	11.3230769230769	58.5846153846154
CB67	57.6249657921505	5.87877529483744	0.994580232735587	2.51371541466803
CB68	1277.71900826446	135.743801652893	21.5867768595041	98.2892561983471
CB69	951.310621242485	94.3406813627254	3.97595190380762	8.64929859719439
CB70	1406.01814882033	32.8130671506352	4.3049001814882	51.7531760435572
CB71	1839.36350364964	56.192700729927	2.72700729927007	12.1401459854015
CB72	468.639175257732	40.3092783505155	2.02061855670103	15.6082474226804
CB73	1760.81037277147	51.2868719611021	3.90275526742301	11.5980551053485
CB74	1821.89737171464	38.7083854818523	2.5531914893617	132.145181476846
CB75	3244.13953488372	103.651162790698	4.0077519379845	14.6744186046512
CB76	943	32.6449275362319	2.39855072463768	17.5072463768116
CB77	4459.79908675799	211.671232876712	4.42922374429224	14.4018264840183
CB78	774.291875472902	8.5833432960772	2.47041513577129	2.19573042330095
CB80	749.888	88.3904	1.0368	4.0576
CB81	414.996254681648	16.0049937578027	0.289637952559301	13.398252184769
CB82	293.352033660589	53.234221598878	0.0504908835904628	0.0841514726507714
CB83	455.270967741935	14.7290322580645	0.129032258064516	0.193548387096774
CB84	1231.04095904096	29.3666333666334	0.0639360639360639	0.0959040959040959
CB85	513.781456953642	30.2781456953642	0.033112582781457	0.0529801324503311
CB86	473.028985507246	16.7777777777778	0.0676328502415459	1.82125603864734
CB87	479.2	29.5847133757962	0.208917197452229	0.193630573248408
CB88	1180.52736318408	10.3383084577114	0.054726368159204	0.0696517412935324
CB89	550.853368560106	88.9828269484808	1.35799207397622	0.317040951122853
CB90	2078.61437908497	448.313725490196	12.8976034858388	6.16122004357299
CB91	469.898507462687	121.2	1.18805970149254	64.5194029850746
CB92	810.361733931241	45.9073243647235	0.137518684603886	1.34529147982063
CB93	67.06463878327	186.631178707224	15.277566539924	23.5665399239544
CB94	204.716510903427	19.8566978193146	0.411214953271028	57.7943925233645
CB95	1202.1325648415	483.746397694524	0.414985590778098	54.9164265129683
CB96	1512.53333333333	43.1308641975309	0.0888888888888889	26.1728395061728
CB97	411.34358974359	2.4	0.553846153846154	26.625641025641
CB98	1592.94290976059	12.4567219152855	0.375690607734807	0.184162062615101
CB99	78.5882352941177	32.7058823529412	0.403361344537815	2.28571428571429
