source,target,importance
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.6182..superpathway.of.salicylate.degradation,0.967074527252503
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.969781066913352
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.930928152944804
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,0.891335183472094
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.973921200750469
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.918198874296435
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,0.970544090056285
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.,0.988899167437558
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.,0.988775824853531
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,0.981251927227875
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.,PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,0.989145852605612
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.989639222941721
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.945235892691952
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,0.909466543324083
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,0.928214616096207
PWY.6607..guanosine.nucleotides.degradation.I,PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.,0.985714285714286
PWY.6859..all.trans.farnesol.biosynthesis,PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.,0.953746530989824
PWY.6922..L.N.delta..acetylornithine.biosynthesis,PWY.4984..urea.cycle,0.956582633053221
PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.,FERMENTATION.PWY..mixed.acid.fermentation,0.93413506012951
PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.911054062216853
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.899352451433858
PWY.7185..UTP.and.CTP.dephosphorylation.I,PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,0.936973410657621
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.905006587615283
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,0.942635658914729
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.905149552883133
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.899105766265803
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,0.961517113783534
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,0.967611336032389
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,PWY.7185..UTP.and.CTP.dephosphorylation.I,0.969433198380567
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.964600678384212
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,0.943385753931545
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,0.927844588344126
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.964600678384212
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,0.943385753931545
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II,PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,0.927844588344126
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.989145852605612
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,0.924144310823312
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II,0.938328707986432
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II,0.938328707986432
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I,PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,0.971754548257786
PWY.7242..D.fructuronate.degradation,GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation,0.932561132561133
PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis,COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,0.961564171122995
PWY.7391..isoprene.biosynthesis.II..engineered.,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,0.962096774193548
PWY.7663..gondoate.biosynthesis..anaerobic.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.899845821769966
PWY.7663..gondoate.biosynthesis..anaerobic.,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,0.916127042861548
PWY.7664..oleate.biosynthesis.IV..anaerobic.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.939932161578785
PWY.7664..oleate.biosynthesis.IV..anaerobic.,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,0.901449275362319
PWY.7664..oleate.biosynthesis.IV..anaerobic.,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,0.940795559666975
PWY.7790..UMP.biosynthesis.II,PWY.5686..UMP.biosynthesis.I,0.936971939562134
PWY.7791..UMP.biosynthesis.III,PWY.5686..UMP.biosynthesis.I,0.936848596978107
PWY.7858...5Z..dodecenoate.biosynthesis.II,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.910329941412273
PWY.7858...5Z..dodecenoate.biosynthesis.II,PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,0.915386987357385
PWY.7858...5Z..dodecenoate.biosynthesis.II,PWY.7664..oleate.biosynthesis.IV..anaerobic.,0.916003700277521
PWY.8073..lipid.IVA.biosynthesis..P..putida.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.912303422756707
PWY.8073..lipid.IVA.biosynthesis..P..putida.,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,0.909466543324083
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I,PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,0.914276904101141
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I,PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I,0.92981806968856
PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,0.965384615384615
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation,PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.,0.962180200222469
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.,PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I,0.944045102184637
PWY0.862...5Z..dodecenoate.biosynthesis.I,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.935615171137835
PWY0.862...5Z..dodecenoate.biosynthesis.I,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.984212149244527
PWY0.862...5Z..dodecenoate.biosynthesis.I,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,0.896392229417206
PWY0.862...5Z..dodecenoate.biosynthesis.I,PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,0.988899167437558
PWY0.862...5Z..dodecenoate.biosynthesis.I,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,0.930064754856614
PWY0.862...5Z..dodecenoate.biosynthesis.I,PWY.7858...5Z..dodecenoate.biosynthesis.II,0.92377428307123
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.,PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.,0.965834104224483
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.,PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.,0.965834104224483
PWY66.430..myristate.biosynthesis..mitochondria.,PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.,0.961191749427044
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.,PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.,0.94785059901339
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I,NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,0.916641498036847
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I,PWY.8073..lipid.IVA.biosynthesis..P..putida.,0.916641498036847
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I,PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage,0.957414678344911
RHAMCAT.PWY..L.rhamnose.degradation.I,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.930685593476291
RHAMCAT.PWY..L.rhamnose.degradation.I,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.917094533373603
RHAMCAT.PWY..L.rhamnose.degradation.I,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.914829356689822
SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II,PWY.6353..purine.nucleotides.degradation.II..aerobic.,0.974638487208009
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I,PWY1ZNC.1..assimilatory.sulfate.reduction.IV,0.911462450592885
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis,SO4ASSIM.PWY..assimilatory.sulfate.reduction.I,0.909096515572001
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,FERMENTATION.PWY..mixed.acid.fermentation,0.921020839625491
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.910542095454177
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.937179099969798
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.981274539414074
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.,0.941558441558442
TCA..TCA.cycle.I..prokaryotic.,FERMENTATION.PWY..mixed.acid.fermentation,0.942071881606765
TCA..TCA.cycle.I..prokaryotic.,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.932195711265479
TCA..TCA.cycle.I..prokaryotic.,PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.,0.981677237491191
TCA..TCA.cycle.I..prokaryotic.,TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,0.969948655995168
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis,PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,0.927597903176071
TRPSYN.PWY..L.tryptophan.biosynthesis,PWY.6629..superpathway.of.L.tryptophan.biosynthesis,0.914153561517114
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.,0.891211840888067
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,0.894788775824853
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.,0.892075238976257
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis,ARO.PWY..chorismate.biosynthesis.I,0.888621646623497
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,FUCCAT.PWY..fucose.degradation,0.903897577181752
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,0.887758248535307
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.900785261250378
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II,NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,0.886648165279063
PWY.5686..UMP.biosynthesis.I,HISTSYN.PWY..L.histidine.biosynthesis,0.88245451742214
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.893446088794926
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,0.896254907882815
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,0.896254907882815
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.881961147086031
PWY.7663..gondoate.biosynthesis..anaerobic.,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.884304656182547
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.895197825430384
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,PWY.7118..chitin.deacetylation,0.897614013893084
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,0.882947887758249
GLUCARDEG.PWY..D.glucarate.degradation.I,GALACTARDEG.PWY..D.galactarate.degradation.I,0.893838719420115
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,GLUCARDEG.PWY..D.glucarate.degradation.I,0.893838719420115
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.888653981677238
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,GLUCARDEG.PWY..D.glucarate.degradation.I,0.89202657807309
TCA..TCA.cycle.I..prokaryotic.,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.893385684083359
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.,PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,0.878014184397163
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I,NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,0.87813752698119
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I,PWY.8073..lipid.IVA.biosynthesis..P..putida.,0.87813752698119
GLUCARDEG.PWY..D.glucarate.degradation.I,FUCCAT.PWY..fucose.degradation,0.894660076168868
PWY.6901..superpathway.of.glucose.and.xylose.degradation,PENTOSE.P.PWY..pentose.phosphate.pathway,0.877767499229109
