2026-04-15 00:40:25.793783 INFO::Writing function arguments to log file
2026-04-15 00:40:25.794745 DEBUG::Function arguments
2026-04-15 00:40:25.795214 DEBUG::Output folder: ALL_VAR_MAASLIN_SCFA
2026-04-15 00:40:25.795648 DEBUG::Formula: ~ Termness + Sex + Delivery_mode + Feeding_method + Antibiotics + Probiotics + Ethnicity + Read_depth
2026-04-15 00:40:25.79608 DEBUG::Fixed effects:
2026-04-15 00:40:25.796507 DEBUG::Reference:
2026-04-15 00:40:25.79695 DEBUG::Random effects:
2026-04-15 00:40:26.000462 INFO::Writing model objects to file ALL_VAR_MAASLIN_SCFA/fits/models_linear.rds
2026-04-15 00:40:26.016204 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_SCFA/fits/residuals_linear.rds
2026-04-15 00:40:26.017694 INFO::Writing residuals to file ALL_VAR_MAASLIN_SCFA/fits/residuals_linear.rds
2026-04-15 00:40:26.019026 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_SCFA/fits/fitted_linear.rds
2026-04-15 00:40:26.020252 INFO::Writing fitted values to file ALL_VAR_MAASLIN_SCFA/fits/fitted_linear.rds
2026-04-15 00:40:26.021507 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_SCFA/fits/models_logistic.rds
2026-04-15 00:40:26.022749 INFO::Writing model objects to file ALL_VAR_MAASLIN_SCFA/fits/models_logistic.rds
2026-04-15 00:40:26.087277 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_SCFA/fits/residuals_logistic.rds
2026-04-15 00:40:26.088629 INFO::Writing residuals to file ALL_VAR_MAASLIN_SCFA/fits/residuals_logistic.rds
2026-04-15 00:40:26.090026 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_SCFA/fits/fitted_logistic.rds
2026-04-15 00:40:26.091161 INFO::Writing fitted values to file ALL_VAR_MAASLIN_SCFA/fits/fitted_logistic.rds
2026-04-15 00:40:26.092977 INFO::Writing all the results to file (ordered 
            by increasing individual q-values): ALL_VAR_MAASLIN_SCFA/all_results.tsv
2026-04-15 00:40:26.095599 INFO::Writing the significant results without errors (those which have joint q-values less than or equal to the threshold of 0.100000 ) to file (ordered by increasing individual q-values): ALL_VAR_MAASLIN_SCFA/significant_results.tsv
2026-04-15 00:40:26.097493 INFO::Writing summary plot of significant
                        results to file: ALL_VAR_MAASLIN_SCFA/figures/summary_plot.pdf
2026-04-15 00:40:27.380574 INFO::Writing association plots (one for each significant association) to output folder: ALL_VAR_MAASLIN_SCFA/figures
2026-04-15 00:40:27.382313 INFO::Plotting associations from most to least significant, grouped by metadata
2026-04-15 00:40:27.385512 INFO::Creating box plot for categorical data (linear), 
                        Antibiotics vs propionate
