feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Clostridium_perfringens.t__SGB6191	Staphylococcus_aureus.t__SGB7852	Haemophilus_parainfluenzae.t__SGB9663_group	Finegoldia_magna.t__SGB6686_group	Staphylococcus_lugdunensis.t__SGB7850	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Lactobacillus_acidophilus.t__SGB7044	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Klebsiella_pneumoniae.t__SGB10115	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Enterobacter_asburiae.t__SGB10141	Citrobacter_freundii.t__SGB10083	Clostridium_neonatale.t__SGB6169	Staphylococcus_haemolyticus.t__SGB7861	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Haemophilus_haemolyticus.t__SGB9649	Scardovia_wiggsiae.t__SGB15494
CB57	-11.0804442064374	NA	NA	-1.60353797135064	NA	NA	-6.58083652770117	NA	NA	NA	NA	NA	NA	NA	-8.7393990673917	NA	NA	NA	-10.5270656080973	-0.631658964202963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.11538488789183	NA	NA	NA	NA
CB58	NA	NA	-6.85709271285917	-4.06585960383384	-1.84720303689076	NA	-11.0624375939494	NA	NA	NA	NA	-7.67792801789918	NA	NA	-12.8209549080928	NA	-6.85811329631569	NA	-3.17333378534694	-1.23141181556798	NA	-4.1044518203175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB59	NA	-9.77396913922469	NA	-7.35508436679682	-5.41034862626781	NA	-10.1185892423422	NA	-9.88854142999912	-10.3428540780114	-6.60865473832566	NA	NA	-8.78780287261821	NA	NA	NA	NA	-0.347096286138114	-2.64866219241765	NA	-8.00271727633869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB61	-4.48439814847585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.46641033965992	NA	NA	NA	NA	NA	-3.5164325617461	NA	NA	NA	NA	NA	-0.206687720847123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB63	NA	NA	NA	NA	NA	NA	-6.51341274405352	-11.5175174803286	NA	-9.43851358351523	NA	NA	NA	NA	-7.40421360362622	-6.70338105174988	NA	NA	NA	NA	NA	NA	-0.310887340560836	NA	NA	-9.59763042929639	NA	NA	NA	NA	NA	-2.6255726184948	NA	NA	NA	NA	NA
CB64	-0.623954017701403	NA	NA	-9.63775195008871	-11.9360839061772	NA	NA	-16.1139451675432	-6.87615040428568	NA	NA	NA	NA	NA	-12.2443677304028	-7.63525442245684	NA	NA	NA	NA	NA	NA	NA	-8.61404275184529	NA	-2.4067336770468	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.8020278069947	NA
CB66	-10.1597491456954	-12.511187372397	-7.90625609367195	-5.23294000298409	-5.92418221970244	NA	-9.92819135339135	NA	-11.8568920272992	-9.54678496350032	-10.0203265460983	-4.75544232502274	-2.4881500008131	-12.3556513524755	-8.35503712804693	NA	-10.9262248716759	NA	NA	NA	NA	NA	-1.09395155879382	-5.59948319949353	NA	-10.6312161532655	-10.6355702516823	NA	NA	NA	NA	NA	NA	-3.85082612015302	NA	NA	-10.7674160058291
CB67	-17.3227594709181	-8.9609594778329	NA	-5.37796941614352	-4.54792853932439	NA	-10.775485637305	NA	-10.574456622088	-6.56632619216429	-7.94444684596589	-8.8487543759214	-3.08280764211825	-9.91866488036303	-8.09741373219235	NA	-12.6526546940937	NA	NA	NA	NA	NA	-1.95628888727372	-9.55273200038306	NA	-8.97729968855539	NA	NA	NA	NA	NA	NA	NA	-2.24731114553221	NA	NA	NA
CB68	NA	-8.82775623989533	NA	-2.74220148708497	NA	NA	-7.90816072618396	NA	-4.4018543602193	NA	-6.80051547291453	NA	NA	-6.13435288891216	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.33509924820633	NA	NA	-13.952000469229	-3.20697744626521	NA	NA	-1.63960515606459	-8.84178708097018	NA	-5.68508031610564	-10.1391036093442	NA	NA
CB69	NA	-5.98060252262466	NA	-2.45175816833381	-14.1740117361152	-11.7853816335639	NA	NA	-13.5740164204366	-6.21703310936799	-8.25164854653624	-14.4655939605506	-2.16328586965633	NA	-12.4574569111123	NA	NA	NA	NA	NA	-11.3432285641312	NA	NA	-6.06713075946834	NA	-4.83582527610032	-8.039974562621	-7.43321781712506	NA	NA	-1.37003844477667	NA	NA	-15.5669959927588	NA	NA	NA
